,link,legislatura,date,type
86,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_087.PDF,III,1988-02-18,diaro de sesiones
87,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_088.PDF,III,1988-02-24,diaro de sesiones
88,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_089.PDF,III,1988-02-25,diaro de sesiones
89,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_090.PDF,III,1988-03-08,diaro de sesiones
90,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_091.PDF,III,1988-03-09,diaro de sesiones
91,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_092.PDF,III,1988-03-10,diaro de sesiones
92,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_093.PDF,III,1988-03-15,diaro de sesiones
93,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_094.PDF,III,1988-03-16,diaro de sesiones
94,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_095.PDF,III,1988-03-17,diaro de sesiones
95,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_096.PDF,III,1988-03-22,diaro de sesiones
96,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_097.PDF,III,1988-03-23,diaro de sesiones
97,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_098.PDF,III,1988-03-24,diaro de sesiones
98,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_099.PDF,III,1988-04-12,diaro de sesiones
99,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_100.PDF,III,1988-04-13,diaro de sesiones
100,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_101.PDF,III,1988-04-14,diaro de sesiones
101,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_102.PDF,III,1988-04-19,diaro de sesiones
102,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_103.PDF,III,1988-04-20,diaro de sesiones
103,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_104.PDF,III,1988-04-21,diaro de sesiones
104,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_105.PDF,III,1988-04-26,diaro de sesiones
